requerimento,razao_social,cnpj,fase,data_cadastro,data_protocolo,data_equipe,processo,status,tipo_licenca,codigo_consema,descricao_consema,porte,potencial_poluidor,inscr_imob,x,y,endereco,cep,regional,data_licenca
57286,Almeida - ME S/A,14856370000130,Licença concedida,2023-03-20T14:51:49Z,24/03/2023 às 18:07,27/03/2023 às 15:18,CRT/32985,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,73100.7,7021560,"Rua Fiuza Lima, 188 - São Judas",88303240,ITAJAI (INIS),2023-03-27
57253,Castro e Filhos,12930785000180,Licença concedida,2023-03-20T09:09:30Z,06/04/2023 às 13:12,Sem Equipe Formada,IND/33388,FCEI Cadastrado,Certidão de Conformidade Ambiental,15.13.00,"Unidade de cominuição de madeira, inclusive as consideradas como resíduos sólidos.",-,P,216.167.01.1150,715180.0256,7011588.8376,"Rua Vergilio Cadore, 9.259 - Campeche",88318995,ITAJAI (INIS),2023-04-06
57236,Lopes e Filhos,57812409000120,Licença concedida,2023-03-17T18:16:19Z,21/03/2023 às 13:13,Sem Equipe Formada,DIV/32822,FCEI Cadastrado,Certidão de Conformidade Ambiental,34.11.04,PRODUÇÃO DE ENERGIA SOLAR FOTOVOLTAICA NO SOLO ,-,P,214.047.01.0347,735393.51,7019164.51,"Rua Samuel Heusi Júnior, 100 - Cabeçudas",88306490,ITAJAI (INIS),2023-03-21
57233,Freitas Martins S.A. Ltda.,93842507000173,Licença concedida,2023-03-17T16:38:22Z,18/05/2023 às 13:31,18/05/2023 às 13:45,URB/34714,FCEI Cadastrado,Licença Ambiental de Operação,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",P,M,NA,735113.48,7016526.7,"Rua Conselheiro Júlio Kumm, 217 - Praia Brava de Itajaí",88306823,ITAJAI (INIS),2023-07-07
57231,Castro - ME,34527016000179,Solicitado documentação complementar,2023-03-17T16:10:13Z,02/05/2023 às 13:20,03/05/2023 às 16:08,DIV/34146,FCEI Cadastrado,Autorização Ambiental,71.00.00,"SERVIÇOS DE REPARAÇÃO E MANUTENÇÃO DE MÁQUINAS, EQUIPAMENTOS OU VEÍCULOS, COM PINTURA, EXCETO MANUTENÇÃO DE ELETRODOMÉSTICOS",U,M,NA,725837.38,7011914.74,"Rua Zacarias Bernardes, 756 - Rio do Meio",88316100,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
57228,da Rosa - ME S.A.,74089325000129,Cadastrado(Aguardando Documento Digital),2023-03-17T15:36:45Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental de Operação,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",P,M,NA,731007.1,7021697.32,"Rua Heitor Liberato, 1561 - São João",88304101,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
57191,Barbosa S/A,06974318000150,Licença concedida,2023-03-17T09:22:46Z,10/04/2023 às 13:15,10/04/2023 às 13:27,CRT/33418,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,725412.052,7023661.278,"ROD JORGE LACERDA, 835 - ESPINHEIROS",88317100,ITAJAI (INIS),2023-04-12
57170,Gomes Mendes e Filhos S.A.,73459216000193,Licença concedida,2023-03-16T16:06:21Z,21/03/2023 às 15:59,21/03/2023 às 18:33,CRT/32840,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,-26.8774,-49.1828,"Rua Gustavo Bernedt, 441 - Cordeiros",88310550,ITAJAI (INIS),2023-03-23
57149,Barros Ltda.,74285163000102,Licença concedida,2023-03-16T14:26:41Z,17/03/2023 às 19:12,20/03/2023 às 13:59,CRT/32731,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,003160022300000000,727093,7023187,"Rua Rosa Orsi Dalçóquio, 400 - Cordeiros",88311720,ITAJAI (INIS),2023-03-20
57130,Farias - EI,13762584000184,Licença concedida,2023-03-16T10:05:34Z,17/03/2023 às 19:13,Sem Equipe Formada,DIV/32732,FCEI Cadastrado,Certidão de Conformidade Ambiental,47.84.00,"TERMINAL  RODOVIÁRIO  DE  CARGA  ONDE  SE  OBSERVE  PELO  MENOS  UMA  DAS  SEGUINTES CONDIÇÕES:A) NÃO POSSUA PLANO DIRETOR, DE ACORDO COM A LEI FEDERAL Nº 10.257, DE 10 DE JULHO DE 2001;B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE.",-,M,NA,-26.8907,-48.742,"Rua Fermino Vieira Cordeiro, S/N - Espinheiros",88317200,ITAJAI (INIS),2023-03-17
57126,Ferreira S/A,61205843000119,Licença concedida,2023-03-16T09:26:00Z,17/03/2023 às 13:24,17/03/2023 às 15:51,URB/32716,FCEI Cadastrado,Licença Ambiental Prévia com dispensa de Licença Ambiental de Instalação,71.11.07,"CONDOMÍNIOS DE EDIFÍCIOS DE USO MISTO (COMERCIAL, RESIDENCIAL, SERVIÇOS) LOCALIZADOS EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES",M,M,NA,733811.27,7018958.12,"Rua José Correia, 133 - Fazendinha",88049400,ITAJAI (INIS),2023-10-06
57095,da Luz - ME,21347608000167,Cadastrado(Aguardando Documento Digital),2023-03-15T16:39:23Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Autorização Ambiental,71.00.00,"SERVIÇOS DE REPARAÇÃO E MANUTENÇÃO DE MÁQUINAS, EQUIPAMENTOS OU VEÍCULOS, COM PINTURA, EXCETO MANUTENÇÃO DE ELETRODOMÉSTICOS",U,M,003.006.03.1110.0000.000,729508.17,7023685.14,"Rua Souza Cruz, 246 - Cordeiros",88310040,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
57089,Vieira - EI,42153869000116,FCEI cancelado,2023-03-15T16:19:52Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Licença Ambiental de Instalação,12.80.10,"Serviço industrial de usinagem, soldas e semelhantes, com pintura por aspersão, ou esmaltação ou imersão.",M,M,003.006.03.1110.0000.000,729502,7023687.46,"Rua Souza Cruz, 246 - Cordeiros",88310040,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
57076,da Rocha Ltda. Ltda.,38624179000120,Licença concedida,2023-03-15T14:58:18Z,21/03/2023 às 18:09,21/03/2023 às 18:56,DIV/32848,FCEI Cadastrado,Licença Ambiental de Instalação,47.84.00,"TERMINAL  RODOVIÁRIO  DE  CARGA  ONDE  SE  OBSERVE  PELO  MENOS  UMA  DAS  SEGUINTES CONDIÇÕES:A) NÃO POSSUA PLANO DIRETOR, DE ACORDO COM A LEI FEDERAL Nº 10.257, DE 10 DE JULHO DE 2001;B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE.",G,M,NA,729101.28,7014207.5,"Rua Alfonso Dalmolin, 95 - Canhanduba",88301701,ITAJAI (INIS),2023-05-29
57075,da Cruz S/A Ltda.,79405326000159,FCEI cancelado,2023-03-15T14:49:17Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Licença Ambiental de Instalação,47.84.00,"TERMINAL  RODOVIÁRIO  DE  CARGA  ONDE  SE  OBSERVE  PELO  MENOS  UMA  DAS  SEGUINTES CONDIÇÕES:A) NÃO POSSUA PLANO DIRETOR, DE ACORDO COM A LEI FEDERAL Nº 10.257, DE 10 DE JULHO DE 2001;B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE.",G,M,NA,729085.19,7014191.83,"Avenida Ministro Victor Konder, 730 - Fazenda",88301701,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
57051,Ramos S.A. e Filhos,16958073000120,Cadastrado(Aguardando Documento Digital),2023-03-15T10:30:55Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental de Instalação,13.20.00,"FABRICAÇÃO DE MATERIAL, EQUIPAMENTOS E APARELHOS ELÉTRICOS",P,M,003.174.01.0275.0000.000,-26.8947,-48.697,"Rua Alfredo Esser, 374 - Cordeiros",88310370,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56985,Moura - EI,04738615000170,Efetuado o parecer técnico,2023-03-14T14:48:59Z,09/01/2024 às 13:05,09/01/2024 às 14:39,PAB/42415,FCEI Cadastrado,Renovação LAO,42.32.10,"COMÉRCIO DE COMBUSTÍVEIS LÍQUIDOS E GASOSOS EM POSTOS DE ABASTECIMENTO, POSTOS DE REVENDA, POSTOS FLUTUANTES E INSTALAÇÕES DE SISTEMA RETALHISTA, COM LAVAGEM E/OU LUBRIFICAÇÃO DE VEÍCULOS",M,M,NA,-73.0157,7022455,"Rua José Pereira Liberato, 986 - São João",88304400,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56962,Santos S/A,52671839000155,FCEI cancelado,2023-03-14T10:53:24Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Licença Ambiental de Instalação,47.84.00,"TERMINAL  RODOVIÁRIO  DE  CARGA  ONDE  SE  OBSERVE  PELO  MENOS  UMA  DAS  SEGUINTES CONDIÇÕES:A) NÃO POSSUA PLANO DIRETOR, DE ACORDO COM A LEI FEDERAL Nº 10.257, DE 10 DE JULHO DE 2001;B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE.",G,M,NA,729085.19,7014191.83,"Avenida Ministro Victor Konder, 730 - Fazenda",88301701,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56945,Barros - EI - ME,51487026000147,Licença concedida,2023-03-13T19:35:58Z,16/03/2023 às 13:29,16/03/2023 às 13:50,CRT/32663,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,-26.9163,-48.6526,"Avenida Ministro Victor Konder, 1030 - Fazenda",88301701,ITAJAI (INIS),2023-03-20
56933,Correia - ME - ME,34190675000162,Licença indeferida,2023-03-13T16:28:26Z,30/03/2023 às 13:57,30/03/2023 às 15:57,CRT/33162,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,214.113.01.0084.0000.000,735273.412,7017013.473,"Rua Doutor Lauro Mussi, 214 - Praia Brava de Itajaí",88306820,ITAJAI (INIS),2023-03-31
56932,da Mata Cunha S/A e Filhos,27068153000127,Licença concedida,2023-03-13T16:14:10Z,30/03/2023 às 13:55,30/03/2023 às 15:56,CRT/33159,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,757391,729265.1770220489,7021763.553209813,"Rua Nelson Raul Rebello, 36 - São Vicente ",88309335,ITAJAI (INIS),2023-03-31
56928,da Conceição Cardoso e Filhos S/A,35624971000197,FCEI cancelado,2023-03-13T15:52:27Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Autorização Ambiental,71.00.00,"SERVIÇOS DE REPARAÇÃO E MANUTENÇÃO DE MÁQUINAS, EQUIPAMENTOS OU VEÍCULOS, COM PINTURA, EXCETO MANUTENÇÃO DE ELETRODOMÉSTICOS",U,M,NA,-26.918,-48.77,"Rua Domingos Rampelotti, 6262 - São Roque",88317600,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56919,Cardoso Cardoso S/A - ME,71695284000126,Licença concedida,2023-03-13T13:52:10Z,21/03/2023 às 18:08,21/03/2023 às 18:54,URB/32846,FCEI Cadastrado,Renovação LAI,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",G,M,203170041500,728652,7025843,"Rua Francisco José de Aviz, 551 - Murta",88311333,ITAJAI (INIS),2023-04-17
56916,Campos S.A. e Filhos,42836051000106,Cadastrado(Aguardando Documento Digital),2023-03-13T13:44:46Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,214.133.01.0016.0055.0000,-26.9583,-48.6298,"Avenida José Medeiros Vieira, 2500 - Praia Brava de Itajaí",88306843,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56902,da Cruz - EI,49867502000103,FCEI cancelado,2023-03-13T10:30:21Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Autorização Ambiental,71.00.00,"SERVIÇOS DE REPARAÇÃO E MANUTENÇÃO DE MÁQUINAS, EQUIPAMENTOS OU VEÍCULOS, COM PINTURA, EXCETO MANUTENÇÃO DE ELETRODOMÉSTICOS",U,M,215.008.02.0770,724484.05,7023801.666,"Rua Fermino Vieira Cordeiro, 3263 - Espinheiros",88317200,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56900,Farias - EI,79563824000120,Licença concedida,2023-03-13T10:17:11Z,12/04/2023 às 17:37,13/04/2023 às 14:11,CRT/33540,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,221.003.01.1122.0023.000,730623.775,7021370.008,"CAROLINA VAILATTI, 33 - SÃO JUDAS",88303410,ITAJAI (INIS),2023-04-13
56895,Moraes - ME,19374608000104,Solicitado documentação complementar,2023-03-13T09:44:46Z,19/06/2023 às 13:11,19/06/2023 às 14:49,URB/35697,FCEI Cadastrado,Licença Ambiental Prévia com dispensa de Licença Ambiental de Instalação,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",G,M,003.212.01.0700.000.000,727609.72,7022685.65,"Avenida Mário Uriarte, 926 - Cordeiros",88311740,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56872,Lima Barros S.A. S.A.,40619782000166,Cadastrado(Aguardando Documento Digital),2023-03-11T13:29:14Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental Prévia,71.11.03,CONDOMÍNIOS RESIDENCIAIS HORIZONTAIS RURAIS LOCALIZADOS EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR E OU ZONEAMENTO QUE NORMATIZE A OCUPAÇÃO E USO DO SOLO RURAL - B) NÃO EXISTA SISTEMA DE COLETA DE LIXO NA ÁREA OBJETO DA ATIVIDADE - C) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DE ATIVIDADE,M,M,NA,729900,7020260,"Rua José Pereira Liberto, 3257 - São Judas",88307370,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56870,da Luz Lopes - ME e Filhos,69802435000156,FCEI cancelado,2023-03-11T10:46:28Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,221.003.01.1122.0023.000,730623.775,7021370.008,"Rua Carolina Vailatti, 33 - São Judas",88303410,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56869,da Mota da Mota Ltda. - EI,34915680000195,FCEI cancelado,2023-03-11T10:37:54Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,221.003.01.1122.0023.000,730623.775,7021370.008,"CAROLINA VAILATTI, 33 - SÃO JUDAS",88303410,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56868,Novaes - EI,10845267000133,FCEI cancelado,2023-03-11T10:34:51Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,204.085.01.0010.0000.000,730762.2565640791,7019901.3501436645,"AVENIDA VEREADOR ABRAHÃO JOÃO FRANCISCO, 2957 - RESSACADA",88307303,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56860,Martins da Mata - ME Ltda.,79423081000192,Licença concedida,2023-03-10T16:49:13Z,15/03/2023 às 18:08,16/03/2023 às 13:50,CRT/32646,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,201.040.12.0567.0000.000,732222.934,7021911.124,"Travessa Antônio Deola, 17 - Centro",88301325,ITAJAI (INIS),2023-03-17
56835,Alves S.A.,95702834000155,FCEI cancelado,2023-03-10T11:24:03Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Licença Ambiental de Instalação,13.20.00,"FABRICAÇÃO DE MATERIAL, EQUIPAMENTOS E APARELHOS ELÉTRICOS",G,M,003.174.01.0275.0000.000,-26.8947,-48.697,"Rua Alfredo Esser, 374 - Cordeiros",88310370,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56831,Mendes - ME,70389456000170,FCEI cancelado,2023-03-10T10:30:17Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Licença Ambiental de Operação de Correção,43.20.00,COMÉRCIO ATACADISTA E DEPÓSITOS DE PRODUTOS QUÍMICOS,P,M,NA,730776.53,7019878.71,"Rua Egon Muller, 43 - Ressacada",88307322,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56823,Barbosa - EI,23157840000168,Licença concedida,2023-03-10T09:41:25Z,10/03/2023 às 18:57,13/03/2023 às 13:22,CRT/32515,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,201.039.05.0370.0063.000,-0.001,-0.001,"Rua Samuel Heusi, 463 - Centro",88301320,ITAJAI (INIS),2023-03-13
56818,Campos Ltda. S/A,48370526000190,FCEI cancelado,2023-03-10T08:46:29Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Autorização Ambiental,56.11.01,"Laboratório de análises de serviços de saúde, exceto locais exclusivos de coleta",U,M,211.058.03.0560.0000,-73.1115,7020213,"Avenida Vereador Abrahão João Francisco, 2300 - Dom Bosco",88307300,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56814,Silva - ME - ME,73280956000168,Cadastrado(Aguardando Documento Digital),2023-03-10T07:54:10Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,0052050300700000,729077.842,7021233.27,"RUA LUIZ LOPES GONZAGA, 1685 - SÃO VICENTE",88309421,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56806,da Mota Ltda.,06247183000120,Cadastrado(Aguardando Documento Digital),2023-03-09T16:53:04Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental Prévia,25.20.00,"FACÇÃO  OU  CONFECÇÃO  DE  ROUPAS  E  ARTEFATOS  TÊXTEIS  COM TINTURARIA,  OU  COM  ESTAMPARIA (EXCETO  POR  SUBLIMAÇÃO  OU  DIGITAL,  DESDE  QUE  SEM  LAVAGEM),  OU  COM  LAVANDERIA  OU  COM  OUTROS PROCESSOS DE ACABAMENTO",G,G,216270011300,-27.0048,-48.8254,"Rodovia Antônio Heil, 14350 - Brilhante I",88318251,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56777,da Rocha S.A.,93871524000139,Licença concedida,2023-03-09T11:51:12Z,13/03/2023 às 15:54,13/03/2023 às 16:15,CRT/32550,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,-26.9206,-48.6773,"Rua Indaial, 105 - Dom Bosco",88303301,ITAJAI (INIS),2023-03-14
56775,Almeida Ltda.,06153849000181,FCEI cancelado,2023-03-09T11:47:47Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Licença Ambiental de Operação,24.70.00,"Beneficiamento de fios ou tecidos, exceto estamparia por sublimação ou digital, desde que sem lavagem.",P,G,NA,-26.9206,-48.6773,"Rua Indaial, 105 - Dom Bosco",88303301,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56760,Cavalcanti e Filhos,08756914000199,Licença concedida,2023-03-09T07:31:01Z,09/03/2023 às 17:03,10/03/2023 às 16:11,CRT/32470,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,725787.24,7025047.82,"Rodovia BR-101, SN - Salseiros",88311601,ITAJAI (INIS),2023-03-10
56759,Correia - ME e Filhos,67043895000112,Cadastrado(Aguardando Documento Digital),2023-03-09T00:50:17Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Certidão de Conformidade Ambiental,34.11.04,PRODUÇÃO DE ENERGIA SOLAR FOTOVOLTAICA NO SOLO ,-,P,214.047.01.034.0000.000,735387.334,7019166.339,"Rua Cônsul Carlos Renaux, 130 - Cabeçudas",88306460,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56735,da Conceição Ramos - EI - ME,62918035000161,Cadastrado(Aguardando Documento Digital),2023-03-08T14:38:47Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental Prévia,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",M,M,920037,731923.2,7021370.91,"Rua Brusque, 271 - Centro",88302000,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56694,Carvalho Pereira S.A. S/A,41360258000186,FCEI cancelado,2023-03-07T17:32:58Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,730617.143,7020297.345,"Rua Indaial, 161 - Dom Bosco",88303301,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
56688,Caldeira Dias S.A. e Filhos,81732504000106,Licença concedida,2023-03-07T17:03:32Z,21/03/2023 às 18:08,21/03/2023 às 18:34,CRT/32847,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,0051260102500000000,729292.972790587,7021024.490370944,"Avenida Governador Adolfo Konder, 705 - CIDADE NOVA",88308004,ITAJAI (INIS),2023-03-27
56683,Pereira S.A.,18076924000137,Licença concedida,2023-03-07T15:59:52Z,08/03/2023 às 18:52,09/03/2023 às 15:49,CRT/32418,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,005.198.01.0035.0000.000,728726,7022613,"Rua Nova Trento, 60 - São Vicente",88309460,ITAJAI (INIS),2023-03-10
56682,da Rosa e Filhos,31529708000168,Licença concedida,2023-03-07T15:40:15Z,21/03/2023 às 13:45,21/03/2023 às 18:32,CRT/32824,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,732972.1644,7021446.9223,"Avenida Ministro Victor Konder, 230 - Centro",88301700,ITAJAI (INIS),2023-03-22
56679,da Conceição Araújo Ltda. e Filhos,20539478000100,Licença concedida,2023-03-07T15:30:46Z,24/03/2023 às 18:07,27/03/2023 às 15:18,CRT/32987,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,-72.533,7017280,"Rodovia Antônio Heil, 3201 - Itaipava",88316001,ITAJAI (INIS),2023-05-18
56656,da Rocha - EI,65208391000180,Licença concedida,2023-03-07T11:58:08Z,23/05/2023 às 13:20,23/05/2023 às 13:43,CRT/34860,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,732346.343,7021154.314,"Rua Arlécio de Souza Flor, 50 B - Centro",88301590,ITAJAI (INIS),2023-05-29
56633,Correia e Filhos S/A,39012476000188,Licença concedida,2023-03-07T08:59:32Z,04/04/2023 às 13:10,04/04/2023 às 17:04,CRT/33280,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,201.048.01.0370.0000.000,732262.0511894705,7021641.767566951,"Avenida Coronel Marcos Konder, 950 - Centro",88301302,ITAJAI (INIS),2023-04-05
56619,Souza Carvalho e Filhos S/A,68935472000170,Licença concedida,2023-03-06T17:46:19Z,17/03/2023 às 13:24,17/03/2023 às 15:51,CRT/32717,FCEI Cadastrado,Certidão de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,201.036.01.0173.0008.000,732364.399,7021444.357,"AVENIDA CORONEL MARCOS KONDER, 805 - CENTRO",88301303,ITAJAI (INIS),2023-03-17
56534,Ferreira S/A - EI,31682045000117,Cadastrado(Aguardando Documento Digital),2023-03-03T16:33:14Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Autorização Ambiental,10.10.00,"APARELHAMENTO DE PEDRAS PARA CONSTRUÇÃO E EXECUÇÃO DE TRABALHOS EM MÁRMORES, ARDÓSIA, GRANITO E OUTRAS PEDRAS",MP,M,NA,730910.62,7023748.72,"Rua Hilda Breittenbauch, 01 - centro",88311140,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
