requerimento,razao_social,cnpj,fase,data_cadastro,data_protocolo,data_equipe,processo,status,tipo_licenca,codigo_consema,descricao_consema,porte,potencial_poluidor,inscr_imob,endereco,cep,data_licenca,grupo_codigo,grupo_processo,grupo_codigo_resumo,geometry,x,y
65600,PEREIRA DAS NEVES S/A - EI,15.340.968/0001-34,Licença concedida,2023-08-28T12:10:55Z,2023-08-28T18:22:00Z,2023-08-29T16:07:00Z,CRT/38198,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Ruas Adolfo Batschauer  E Sidney Schulze , S/Nº - Cidade Nova/Dom Bosco ",88303-530,2023-08-29,NA,CRT,NA,"c(-5419638.79551349, -3112928.69138104)",729847.53,7020812.54
65597,PEREIRA S/A,02.968.315/0001-52,Licença concedida,2023-08-28T11:26:29Z,2023-09-15T13:00:00Z,2023-09-15T16:38:00Z,DIV/38778,FCEI Cadastrado,LAO,47.86.00,Terminal retroportuários,M,M,NA,"Rua Francisco Reis, Sn - Cordeiros",88311-710,2023-10-19,Terminais de Transporte,DIV,Terminal Rod.,"c(-5422710.24045729, -3111750.31972345)",727125.61,7021908.35
65592,MONTEIRO - EI E FILHOS,68.721.935/0001-09,Relatório de Monitoramento enviado,2023-08-28T11:03:05Z,2023-08-30T19:04:00Z,2023-08-31T15:37:00Z,IND/38279,FCEI Cadastrado,REN_LAO,12.80.00,Serviço industrial de usinagem,M,P,202.029.01.0400.0000.000,"Avenida Irineu Bornhausen, 1070 - São João",88304-000,2023-10-24,Atividade Industrial,IND,Industrial,"c(-5418246.5469956, -3111046.52296723)",731120.65,7022460.49
65590,LOPES NOGUEIRA S/A S/A,14.763.089/0001-52,Licença concedida,2023-08-28T10:50:40Z,2023-08-29T15:00:00Z,2023-08-29T16:07:00Z,CRT/38238,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Benjamin Dagnoni, 3875 - Rio Do Meio",88316-100,2023-09-21,NA,CRT,NA,"c(-5422751.47798402, -3120198.12256652)",726953.19,7014412.38
65588,LOPES E FILHOS - ME,71.863.420/0001-40,Solicitado documentação complementar,2023-08-28T10:18:03Z,2023-10-25T13:07:00Z,2023-10-26T14:43:00Z,DIV/34324,FCEI Cadastrado,LAI,47.84.00,Terminal  rodoviário  de  carga  ,G,M,216.008.01.0500.0000.000,"Rua Benjamin Dagnoni, S/N - Rio Do Meio",88316-100,NA,Terminais de Transporte,DIV,Terminal Rod.,"c(-5422928.99399432, -3116901.60980153)",726847.777020668,7017340.063356215
65508,DIAS NOGUEIRA S/A - EI,65.083.271/0001-01,Licença concedida,2023-08-25T09:04:22Z,2023-08-29T15:04:00Z,2023-08-29T16:07:00Z,CRT/38240,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,"Não Possui, terreno Rural","Rua Domingos Rampelotti, 840 - São Roque",88317-600,2023-08-30,NA,CRT,NA,"c(-5424010.94089963, -3111426.26586877)",725970.005,7022216.929
65503,JESUS S/A,12.690.453/0001-76,Solicitado documentação complementar,2023-08-24T20:52:06Z,2023-10-02T13:26:00Z,2023-10-02T13:48:00Z,DIV/39353,FCEI Cadastrado,LAP_LAI,47.84.00,Terminal  rodoviário  de  carga  ,P,M,NA,"Avenida Presidente Castelo Branco, 651/ 681/711 - Salseiros",88311-470,NA,Terminais de Transporte,DIV,Terminal Rod.,"c(-5422925.25874338, -3109111.98420985)",726976,7024254
65487,CUNHA RAMOS LTDA. LTDA.,83.405.197/0001-76,Licença indeferida,2023-08-24T16:07:12Z,2023-08-25T15:18:00Z,2023-08-25T15:19:00Z,CRT/38135,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Antônio Notari, 210 - Espinheiros",88317-160,2023-08-29,NA,CRT,NA,"c(-5425172.20442591, -3109676.98193127)",724961.43,7023788.42
65483,NUNES S/A,82.654.071/0001-72,Licença concedida,2023-08-24T15:43:33Z,2023-08-28T14:56:00Z,NA,URB/38182,FCEI Cadastrado,CCA,71.11.01,Condomínios de casas ou edifícios,-,M,204.166.01.0082.0000.000,"Rua 2870, 97 - Centro",88330-358,2023-08-28,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5418382.66667816, -3114742.17049746)",730938.854,7019182.42
65473,MARTINS LTDA.,05.349.182/0001-24,Licença concedida,2023-08-24T14:44:56Z,2023-09-27T17:55:00Z,2023-09-28T13:31:00Z,CRT/39207,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rodovia Jorge Lacerda, 1010 - Espinheiros",88317-100,2023-10-04,NA,CRT,NA,"c(-5424571.86455286, -3109379.4197399)",725502,7024043
65460,PORTO MONTEIRO - ME LTDA.,67.283.941/0001-50,Licença concedida,2023-08-24T13:46:58Z,2023-09-27T18:15:00Z,2023-09-28T13:31:00Z,CRT/39208,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,324787,"Rod Jorge Lacerda, 1010 - Espinheiros",88317-100,2023-10-10,NA,CRT,NA,"c(-5424571.86455286, -3109379.4197399)",725502,7024043
65459,DA LUZ - EI,27.503.184/0001-69,Licença concedida,2023-08-24T13:45:59Z,2023-08-29T15:00:00Z,NA,PAB/38236,FCEI Cadastrado,CCA,42.32.20,Instalações aéreas de tancagem autônoma para consumo próprio de combustíveis líquidos e gasosos,-,M,NA,"Rua Fermino Vieira Cordeiro, 110 - Espinheiros",88317-200,2023-08-29,Comércio Varejista e Atacadista,PAB,Posto de Abast.,"c(-5423480.17593016, -3110432.13684098)",726459.58,7023090.91
65449,DA PAZ E FILHOS,74.932.106/0001-60,Licença concedida,2023-08-24T11:21:27Z,2023-09-11T15:09:00Z,NA,DIV/38595,FCEI Cadastrado,CCA,47.84.00,Terminal  rodoviário  de  carga  ,-,M,NA,"Rodovia Antônio Heil, 3850 - Itaipava",88316-000,2023-09-11,Terminais de Transporte,DIV,Terminal Rod.,"c(-5425421.55225557, -3116701.77191528)",724627.35,7017557.4
65394,CARDOSO LTDA. S.A.,20.541.679/0001-33,Licença concedida,2023-08-23T15:14:19Z,2023-08-28T15:00:00Z,2023-08-28T16:26:00Z,CRT/38184,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,215.028.01.2000.0001.000,"Rodovia Jorge Lacerda, 1010 - Espinheiros",88317-100,2023-08-29,NA,CRT,NA,"c(-5424676.70999924, -3109123.83192069)",725412.4845293751,7024271.592889104
65384,PIRES E FILHOS,90.753.248/0001-16,Licença concedida,2023-08-23T14:33:06Z,2023-09-06T13:13:00Z,2023-09-06T18:01:00Z,CRT/38539,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Avenida Coronel Marcos Konder, 1024 - Centro",88301-302,2023-09-11,NA,CRT,NA,"c(-5417162.64437123, -3111832.45834558)",732075.1370624108,7021744.986153253
65345,MOREIRA S/A,67.401.532/0001-01,Licença concedida,2023-08-23T07:44:07Z,2023-08-23T13:39:00Z,2023-08-24T14:22:00Z,CRT/38042,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Irene Bonanomi Da Silva, S/Nº - Ressacada",88307-395,2023-08-24,NA,CRT,NA,"c(-5418321.15887529, -3114736.19791309)",730993.832,7019186.711
65342,FOGAÇA VIEIRA S/A - ME,28.516.704/0001-30,Solicitado documentação complementar,2023-08-22T22:22:13Z,2023-09-26T13:05:00Z,2023-09-26T15:29:00Z,URB/39135,FCEI Cadastrado,LAP_LAI,71.11.07,Condomínios de edifícios de uso misto ,M,M,NA,"Rua João Wollinger, S/N - Fazenda",88302-582,NA,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5415753.89887763, -3114216.98305049)",733293.05,7019605.17
65340,OLIVEIRA CALDEIRA S/A - ME,40.581.973/0001-86,Efetuado o parecer técnico,2023-08-22T20:58:55Z,2023-10-25T13:08:00Z,2023-10-26T14:46:00Z,URB/40147,FCEI Cadastrado,LAP_LAI,71.11.01,Condomínios de casas ou edifícios,P,M,NA,"Rua Jorge Mattos, 15 - Centro",88302-130,NA,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5417106.2033001, -3112595.20142399)",732113,7021067
65308,ALMEIDA - ME S/A,67.504.923/0001-51,Licença concedida,2023-08-22T14:49:20Z,2023-11-08T16:33:00Z,2023-11-08T16:55:00Z,CRT/40623,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Joinville, 270 - Centro",88301-410,2023-11-24,NA,CRT,NA,"c(-5416337.52539764, -3111924.11935852)",732810,7021650
65306,OLIVEIRA - EI,64.928.751/0001-55,Licença concedida,2023-08-22T14:46:45Z,2023-11-08T16:33:00Z,2023-11-08T16:55:00Z,CRT/40624,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Indaial, 985 - São Judas",88303-303,2023-11-13,NA,CRT,NA,"c(-5418751.39656062, -3112533.66506058)",730645.85,7021148.66
65304,FERREIRA E FILHOS - EI,59.860.421/0001-35,Licença concedida,2023-08-22T14:42:16Z,2023-11-08T16:33:00Z,2023-11-08T16:55:00Z,CRT/40622,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Samuel Heusi, 234 - Centro",88301-320,2023-11-22,NA,CRT,NA,"c(-5416766.23471465, -3111496.78877474)",732434.42,7022036.42
65302,TEIXEIRA S/A,19.087.236/0001-35,Licença concedida,2023-08-22T14:37:02Z,2023-11-08T16:32:00Z,2023-11-08T16:55:00Z,CRT/40618,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Maurício Da Silva, 623 - Cordeiros",88311-156,2023-11-22,NA,CRT,NA,"c(-5421165.47581683, -3108639.83240959)",728554.39,7024644.76
65301,VIEIRA - ME,31.072.948/0001-86,FCEI cancelado,2023-08-22T14:30:55Z,2023-11-08T16:32:00Z,2023-11-08T16:54:00Z,CRT/40617,Arquivado Outros,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Peterson André Machado, 638",88308-350,NA,NA,CRT,NA,"c(-5420776.85060739, -3114167.03627727)",728811.95,7019731.97
65298,MORAES LTDA.,27.189.360/0001-30,Licença concedida,2023-08-22T14:20:22Z,2023-11-08T16:32:00Z,2023-11-08T16:54:00Z,CRT/40616,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Manoel Joaquim Coelho, 260 - Dom Bosco",88307-090,2023-11-21,NA,CRT,NA,"c(-5418692.6232565, -3113272.2398136)",730686.26,7020492.13
65292,DA ROCHA - ME LTDA.,08.357.246/0001-27,Licença concedida,2023-08-22T13:58:48Z,2023-08-24T18:06:00Z,2023-08-24T18:13:00Z,CRT/38106,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Juvenal Garcia, 275 - Centro",88302-040,2023-08-25,NA,CRT,NA,"c(NaN, NaN)",NA,NA
65245,NUNES LTDA.,27.349.601/0001-60,Licença concedida,2023-08-21T17:05:00Z,2023-08-24T17:03:00Z,2023-08-24T18:12:00Z,CRT/38099,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,2150340105000000,"Rodovia Br-101, 2050 - Salseiros",88311-600,2023-08-29,NA,CRT,NA,"c(NaN, NaN)",NA,NA
65232,DA COSTA S.A.,45.961.082/0001-79,Licença concedida,2023-08-21T15:29:12Z,2023-10-18T14:24:00Z,2023-10-18T18:36:00Z,CRT/39868,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Domingos Rampelotti, 3501 - São Roque",88317-600,2023-10-31,NA,CRT,NA,"c(-5426335.3704126, -3111969.77584938)",723886.999008149,7021771.600027258
65136,CASTRO RAMOS S.A. - EI,15.630.298/0001-90,Licença concedida,2023-08-18T15:57:41Z,2023-08-24T17:07:00Z,NA,DIV/38100,FCEI Cadastrado,CCA,47.84.00,Terminal  rodoviário  de  carga  ,-,M,003.006.03.1195,"Rua Souza Cruz, 320 - Cordeiros",88318-080,2023-08-24,Terminais de Transporte,DIV,Terminal Rod.,"c(-5420087.49743386, -3109777.25275428)",729498.2,7023617.4
65071,REZENDE CAVALCANTI S/A - ME,56.182.047/0001-78,Licença concedida,2023-08-17T17:15:36Z,2023-09-26T13:09:00Z,2023-09-26T15:09:00Z,CRT/39138,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rodovia Jorge Lacerda, 1010 - Espinheiros",88317-100,2023-10-11,NA,CRT,NA,"c(-5424734.79261325, -3109309.34454753)",725357.69,7024107.82
65070,SOUZA LTDA.,38.270.194/0001-18,Licença concedida,2023-08-17T17:08:34Z,2023-08-22T12:56:00Z,2023-08-22T15:56:00Z,URB/37984,FCEI Cadastrado,LAP,71.11.01,Condomínios de casas ou edifícios,G,M,214.049.02.0104,"Avenida José Medeiros Vieira, S/N - Praia Brava De Itajaí",88306-798,2023-10-04,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5413212.21518125, -3115297.33623065)",735543,7018603.999
65038,SALES - EI,23.594.801/0001-28,Solicitado documentação complementar,2023-08-17T11:03:16Z,2024-02-08T13:16:00Z,2024-02-08T17:00:00Z,URB/26648,FCEI Cadastrado,LAI,71.11.01,Condomínios de casas ou edifícios,G,M,NA,"Rua Manoel Bernardo Da Silva, 250 - Fazenda",88302-515,NA,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5416090.28555787, -3114547.55653869)",732987.45,7019317.35
65019,MOURA DIAS S.A. - ME,62.153.807/0001-11,Solicitado documentação complementar,2023-08-16T20:26:10Z,2023-08-22T18:46:00Z,2023-08-24T14:19:00Z,URB/38013,FCEI Cadastrado,LAP,71.11.01,Condomínios de casas ou edifícios,P,M,2140360415000000000,"Rua Tereza Francisca Pereira, 300 - Cabeçudas",88306-479,NA,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5414160.04568444, -3114590.08221938)",734709.05,7019247.528
64996,DAS NEVES S.A.,12.609.583/0001-31,Licença concedida,2023-08-16T15:43:16Z,2023-08-18T13:18:00Z,NA,DIV/37885,FCEI Cadastrado,CCA,47.84.00,Terminal  rodoviário  de  carga  ,-,M,NA,"Rua Antônio Bento Da Silva, 345 - Itaipava",88316-630,2023-08-18,Terminais de Transporte,DIV,Terminal Rod.,"c(-5426752.02889683, -3116539.03482011)",723443,7017723
64959,CALDEIRA S.A. S.A.,06.279.531/0001-41,Licença concedida,2023-08-16T09:42:26Z,2023-08-18T18:53:00Z,2023-08-22T14:16:00Z,URB/37903,FCEI Cadastrado,LAP,71.21.11,Condomínio com fins industriais ou de serviços ,P,G,215.008.02.0770,"Rodovia Jorge Lacerda, 1615 - Espinheiros",88317-100,2023-11-01,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5425413.05506728, -3109400.83277904)",724750.84,7024037.428
64951,DA MATA - ME,50.216.793/0001-59,Licença indeferida,2023-08-15T20:16:41Z,2023-08-18T13:17:00Z,2023-08-18T14:45:00Z,CRT/37883,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,204.166.01.0082.0000.000,"Rua 2870, 97 - Centro",88330-358,2023-08-24,NA,CRT,NA,"c(-5418382.66667816, -3114742.17049746)",730938.854,7019182.42
64872,NOGUEIRA SILVA - ME - ME,09.685.327/0001-19,Licença concedida,2023-08-14T15:12:40Z,2023-08-25T15:18:00Z,2023-08-25T15:19:00Z,CRT/38134,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,215.029.01.0219.0000.000,"Rodovia Jorge Lacerda, 1208 - Salseiros",88311-605,2023-08-29,NA,CRT,NA,"c(NaN, NaN)",NA,NA
64848,BARBOSA VIANA E FILHOS - EI,35.874.602/0001-52,Licença concedida,2023-08-14T09:43:33Z,2023-08-17T18:34:00Z,2023-08-18T14:43:00Z,CRT/37859,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Henrique Vigarani, 90 - Barra Do Rio",88305-555,2023-08-18,NA,CRT,NA,"c(-5418838.00515298, -3109495.26600027)",730618.04,7023847.35
64847,DA CONCEIÇÃO LTDA.,83.597.426/0001-00,Licença concedida,2023-08-14T09:11:18Z,2023-10-02T13:59:00Z,2023-10-02T17:31:00Z,CRT/39366,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,2110100301750000000,"Rua Carlos Seara, 330 - Vila Operária",88303-200,2023-10-04,NA,CRT,NA,"c(-5418331.49902456, -3112094.61110477)",731027.7285073891,7021531.50120719
64820,RAMOS S.A.,36.854.120/0001-01,Solicitado documentação complementar,2023-08-11T14:27:16Z,2023-08-22T17:04:00Z,2023-08-24T14:16:00Z,URB/38002,FCEI Cadastrado,LAO_COR,71.21.11,Condomínio com fins industriais ou de serviços ,P,G,216.019.02.0010,"Avenida Itaipava, 2500 - Itaipava",88316-300,NA,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5423969.34313469, -3115955.5054314)",725934.8,7018196.36
64796,COSTA S/A S.A.,18.269.735/0001-80,Licença concedida,2023-08-11T09:23:41Z,2023-08-17T18:30:00Z,NA,DIV/37857,FCEI Cadastrado,CCA,47.84.00,Terminal  rodoviário  de  carga  ,-,M,NA,"Rodovia Jorge Lacerda, 1295 - Espinheiros",88317-902,2023-08-17,Terminais de Transporte,DIV,Terminal Rod.,"c(-5425000.0249711, -3109872.60392968)",725112,7023612
64783,LIMA LTDA.,21.749.635/0001-66,Licença concedida,2023-08-10T18:16:01Z,2023-08-11T13:26:00Z,2023-08-11T14:55:00Z,CRT/37648,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Saul Schead Dos Santos, 67, 55 E 19 - São Vicente",88309-390,2023-08-14,NA,CRT,NA,"c(-5420068.08308094, -3112369.2525591)",729473.5199773631,7021316.113544542
64738,VIEIRA - EI,07.132.945/0001-06,Licença concedida,2023-08-10T13:57:46Z,2023-08-17T18:29:00Z,2023-08-18T14:43:00Z,CRT/37856,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Rosália Pedroni, 333 - Itaipava",88316-475,2023-08-21,NA,CRT,NA,"c(-5425905.42671729, -3116328.64507311)",724201.6,7017896.22
64736,SANTOS E FILHOS,28.097.154/0001-62,Licença concedida,2023-08-10T13:46:53Z,2023-08-29T15:00:00Z,2023-08-29T16:07:00Z,CRT/38237,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Br 101, 3.900 - Salseiros",88211-600,2023-08-31,NA,CRT,NA,"c(-5424270.61680405, -3108333.56060846)",725787.55,7024966.736
64682,PEREIRA S.A.,60.371.542/0001-00,Efetuado o parecer técnico,2023-08-09T17:07:00Z,2023-09-18T16:08:00Z,2023-09-19T15:03:00Z,PAB/38854,FCEI Cadastrado,REN_LAO,42.32.10,Comércio de combustíveis líquidos e gasosos em postos de abastecimento,M,M,NA,"Rua Estefano José Vanolli, 559 - São Vicente",88309-201,NA,Comércio Varejista e Atacadista,PAB,Posto de Abast.,"c(NaN, NaN)",NA,NA
64670,DA LUZ DA LUZ E FILHOS S.A.,95.234.067/0001-05,Solicitado documentação complementar,2023-08-09T15:51:57Z,2023-09-06T17:53:00Z,2023-09-06T18:15:00Z,URB/38559,FCEI Cadastrado,LAP,71.11.01,Condomínios de casas ou edifícios,G,M,203.035.01.0300,"Rua José Luiz Marcelino, 975 - Murta",88311-300,NA,Empreendimentos Imobiliários,URB,Imobiliário,"c(NaN, NaN)",NA,NA
64650,GOMES S/A,39.150.842/0001-65,Licença concedida,2023-08-09T14:40:11Z,2023-08-10T14:45:00Z,2023-08-10T16:04:00Z,CRT/37596,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Hélio Firmo Caetano, 132 - Dom Bosco",88307-110,2023-08-11,NA,CRT,NA,"c(-5418820.98491999, -3113880.75964747)",730561.802,7019954.13
64628,SALES LTDA. - EI,53.172.894/0001-63,Licença concedida,2023-08-09T13:15:15Z,2023-08-11T13:24:00Z,2023-08-11T14:55:00Z,CRT/37645,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,2040150303580000000,"Rua Onze De Junho, 222 - Fazenda",88301-660,2023-08-11,NA,CRT,NA,"c(NaN, NaN)",NA,NA
64603,FOGAÇA - EI - EI,58.267.410/0001-83,Efetuado o parecer técnico,2023-08-09T09:55:15Z,2023-08-18T13:18:00Z,2023-08-18T17:20:00Z,URB/37886,FCEI Cadastrado,LAO,71.11.07,Condomínios de edifícios de uso misto ,P,M,NA,"Rua Aristides Estevão Da Silva, S/N - Ressacada",88307-393,NA,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5418465.08241351, -3114678.94933163)",730866.3501951171,7019239.881229906
64567,LOPES LTDA.,45.973.086/0001-77,Licença concedida,2023-08-08T15:55:42Z,2023-08-14T15:48:00Z,2023-08-14T17:03:00Z,CRT/37719,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Avenida José Medeiros Vieira, 350 - Praia Brava De Itajaí",88306-798,2023-08-24,NA,CRT,NA,"c(NaN, NaN)",NA,NA
64559,FERNANDES E FILHOS,26.413.089/0001-01,Licença concedida,2023-08-08T14:30:30Z,2023-08-16T13:43:00Z,2023-08-16T16:19:00Z,CRT/37789,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua Vereador Germano Luiz Vieira, 6457 - Arraial Do Cunhas",88318-120,2023-08-29,NA,CRT,NA,"c(-5431325.01118837, -3120512.42147508)",719301.76,7014269.72
64558,PEREIRA - EI,32.451.098/0001-90,Licença concedida,2023-08-08T14:27:47Z,2023-08-14T14:46:00Z,2023-08-14T15:23:00Z,CRT/37715,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,NA,"Rua José Darcy Da Silva, 170 - Dom Bosco",88307-324,2023-08-14,NA,CRT,NA,"c(-5418618.14472425, -3113796.59079633)",730744.17,7020025.51
64555,CARDOSO LTDA.,20.359.761/0001-41,Solicitado documentação complementar,2023-08-08T14:19:10Z,2023-10-03T16:27:00Z,2023-10-04T13:53:00Z,URB/39416,FCEI Cadastrado,LAP_LAI,71.11.07,Condomínios de edifícios de uso misto ,G,M,204.012.01.0141.0002.000,"Avenida Sete De Setembro, S/N - Centro",88301-200,NA,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5415844.33905757, -3113934.93519533)",733217,7019857
64530,MENDES - EI S.A.,03.925.814/0001-25,Solicitado documentação complementar,2023-08-08T09:52:12Z,2023-08-24T17:11:00Z,2023-08-24T18:16:00Z,DIV/38102,FCEI Cadastrado,REN_LAO,47.84.00,Terminal  rodoviário  de  carga  ,M,M,215.001.01.0090,"Rodovia Jorge Lacerda, 350 - Salseiros",88311-605,NA,Terminais de Transporte,DIV,Terminal Rod.,"c(-5424094.18880289, -3109622.6814236)",725924.48,7023819.38
64520,VIANA DA MOTA S/A - ME,10.952.874/0001-00,Licença concedida,2023-08-07T22:25:50Z,2023-09-05T13:18:00Z,NA,DIV/38470,FCEI Cadastrado,CCA,47.84.00,Terminal  rodoviário  de  carga  ,-,M,215.033.01.0170,"Rodovia Br-101, 2950 - Salseiros",88311-601,2023-09-05,Terminais de Transporte,DIV,Terminal Rod.,"c(-5425021.80042124, -3107064.62535573)",725137.171359572,7026105.4550282955
64501,DA CONCEIÇÃO - EI,50.613.742/0001-60,Licença concedida,2023-08-07T16:03:04Z,2023-08-17T18:33:00Z,2023-08-18T14:43:00Z,CRT/37858,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,212.019.03.0571,"Rua José Pereira Liberato, 193 - Barra Do Rio",88305-390,2023-08-18,NA,CRT,NA,"c(-5419204.60380722, -3110135.46539734)",730280.413,7023284.976
64496,JESUS LTDA.,68.401.723/0001-36,Licença concedida,2023-08-07T15:29:02Z,2023-08-10T17:46:00Z,2023-08-11T14:54:00Z,CRT/37613,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,204.150.02.0280.0000.000,"Rodovia Br 101, 15000, Sala 223 D - Canhanduba",88313-000,2023-08-11,NA,CRT,NA,"c(-5418207.99561648, -3115115.09906665)",731088.612,7018848.583
64490,DA CRUZ LTDA.,67.345.180/0001-14,Licença concedida,2023-08-07T14:49:23Z,2023-08-14T14:01:00Z,2023-08-14T15:23:00Z,CRT/37712,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,344835,"Rua Israel De Almeida, 647 - São Vicente",88312-050,2023-08-15,NA,CRT,NA,"c(-5421682.21569744, -3112269.38232006)",728034.6872053416,7021430.986795187
64437,RODRIGUES - ME,15.347.968/0001-66,Licença concedida,2023-08-06T14:05:02Z,2023-08-31T14:30:00Z,NA,IND/38307,FCEI Cadastrado,CCA,26.50.01,Industrialização de produtos de origem animal,-,P,NA,"Rua João Gottardi, 335 - Espinheiros Baixo",88317-365,2023-08-31,Atividade Industrial,IND,Industrial,"c(-5425982.31215232, -3111026.84290176)",724217,7022603
64421,ROCHA - ME,78.256.149/0001-23,Licença concedida,2023-08-04T17:17:27Z,2023-08-10T17:47:00Z,2023-08-11T14:54:00Z,CRT/37615,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,204.137.03.0142.0000.000,"Rua Das Cerejeiras, 39 - Ressacada",88307-330,2023-08-14,NA,CRT,NA,"c(-5418454.72416694, -3114132.52825295)",730884.51,7019724.67
64420,SILVEIRA LOPES - EI S.A.,07.265.814/0001-05,Licença concedida,2023-08-04T17:07:38Z,2023-08-22T12:55:00Z,2023-08-22T14:11:00Z,CRT/37983,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,292829,"Avenida Coronel Marcos Konder, 950 - Centro",88301-302,2023-08-24,NA,CRT,NA,"c(-5416882.55351784, -3112210.94566564)",732318.89,7021404.395
64416,DA PAZ - EI - EI,54.297.106/0001-28,Solicitado documentação complementar,2023-08-04T16:23:03Z,2023-08-09T18:40:00Z,2023-08-10T16:04:00Z,URB/37556,FCEI Cadastrado,LAP,71.11.08,Parcelamento do solo urbano condomínio de lotes para fins residenciais,G,M,216.350.01.0500,"Rua Benjamin Dagnoni, S/N - Rio Do Meio",88316-100,NA,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5422561.52744589, -3121500.56365495)",727101.66,7013253.91
64411,DIAS S.A. E FILHOS,93.870.245/0001-50,Licença concedida,2023-08-04T15:20:42Z,2023-08-11T13:25:00Z,2023-08-11T18:17:00Z,AGR/37646,FCEI Cadastrado,LAO_COR,43.20.00,Comércio atacadista e depósitos de produtos químicos,M,M,NA,"Rua Henrique Michels Júnior, 330 - Cordeiros",88311-715,2023-12-22,Comércio Varejista e Atacadista,AGR,Posto de Abast.,"c(-5423282.71581309, -3110263.69449774)",726638.51,7023237.27
64399,SALES S/A,79.305.246/0001-21,Licença concedida,2023-08-04T13:54:02Z,2023-09-05T19:06:00Z,2023-09-06T18:01:00Z,CRT/38502,FCEI Cadastrado,DANC,0,Certidão que não possui atividade,-,-,2150300105000003000,"Rod Br 101, 4200 - Salseiros",88317-001,2023-09-14,NA,CRT,NA,"c(-5424186.45896178, -3108488.06662129)",725860.2098660797,7024828.206197835
64387,DA MATA DA PAZ - EI S.A.,26.193.045/0001-13,Solicitado documentação complementar,2023-08-04T11:26:01Z,2023-08-14T14:44:00Z,2023-08-14T18:26:00Z,URB/37714,FCEI Cadastrado,REN_LAO,71.11.01,Condomínios de casas ou edifícios,G,M,NA,"Rua São Gonçalo, 135 - Dom Bosco",88307-180,NA,Empreendimentos Imobiliários,URB,Imobiliário,"c(-5419203.08860387, -3114274.03389208)",730214.45,7019611.34
